Y,W,kidid
53.98305476465774,1,100010190201
44.555473089639904,0,100010190301
44.05961749437417,0,100010330201
47.76414219161668,1,100010330202
35.1430859617002,0,100010370201
46.04720904718532,0,100010590201
44.98551087401752,1,100010630201
43.790650215787146,0,100010720201
33.986133440122174,0,100010990201
38.00578117168784,0,100020160201
28.32478845097162,0,100020160202
49.857216990332574,1,100020410201
46.78084824016408,1,100020510201
42.27368365420847,1,100020510202
34.60190868365848,0,100020730101
45.69589912484606,1,100020730102
37.44049444728917,0,100020760101
44.89268625512874,1,100020800201
47.92018774746267,0,100030070201
48.24761131459729,1,100030230201
58.68006641357326,1,100030470201
45.76332566048793,0,100030560201
49.78414233063223,0,100030560203
54.406029092265946,0,100030760201
48.80684452737059,0,100040740201
47.18143937545392,0,100050170201
41.39892078718542,1,100050520201
50.68146699213484,0,100050770101
44.75549472057965,0,100060020101
40.98655712496239,0,100060020102
55.759190695297875,1,100060190201
64.18040920556885,1,100060460201
64.06168703329381,1,100060620201
39.36430709721363,1,100060680201
40.72846547559701,0,100060790101
47.191616161092256,0,100060790102
61.73701975552574,1,100060840201
51.31003253887314,0,100070490201
54.56033878575471,1,100070560101
57.69978443912469,0,100070560201
49.706502105607406,1,100080060202
58.527938870789875,1,100080210201
50.05316646454689,0,100080370201
51.196897881114815,0,100080520201
57.437692576734925,0,100080680201
61.83939573012475,1,100081150201
51.43622525494729,1,100081150202
54.15234419515971,0,100081200201
46.390088217024264,1,100081250201
41.89807279101106,1,100090060201
49.432069873596,1,100090520201
53.30384963589898,0,100090840201
18.810799028497783,0,100091070202
12.103524629050657,0,100100100201
61.05876744822336,1,100100160201
60.096626707078904,1,100100160202
50.84912122423448,0,100100370201
46.64888842484098,1,100100640201
44.03576380500864,1,100101080101
44.63676524450604,0,100101080401
34.39720757111458,1,100101240501
42.87948730537729,0,100101290201
58.89530996041088,0,100110180201
59.895114364991095,1,100110180202
60.945070569609186,1,100110180203
55.24248109727938,0,100110220101
60.23255837016132,1,100110260201
59.951455757526205,1,100110260202
57.93713582118996,1,100110340201
48.54636759517876,0,100110530101
47.992870964973555,0,100110530102
58.67492140154021,0,100110570101
53.64831983382002,0,100110840201
36.36937890297178,0,100120030201
29.079405584227093,0,100120230201
42.816882473328,0,100120380202
49.047589063189164,1,100120580201
33.17859422232176,0,100120610201
37.58293564300225,0,100120610202
60.60030280194801,0,100130230201
54.14978720160152,0,100130270201
53.66567696529977,0,100130270202
58.5732372668861,1,100130350201
70.11695422354126,0,100130350202
44.820576426751835,0,100130490201
45.85036771874526,0,100130510201
53.11756895483496,0,100140250201
61.21972944814055,1,100140360201
59.66624179127779,1,100140440201
62.02195130062291,1,100150530201
59.20880689232182,0,100150740201
63.06720205196595,0,100150780201
54.43245990592086,0,100160170201
62.297218092601646,1,100160300201
