Y,W,kidid
17.077064178318757,1,100010190201
12.553459873077,0,100010190301
26.72593688574441,0,100010330201
22.491560843408436,1,100010330202
13.735287770515479,0,100010370201
8.786946624683466,0,100010590201
19.701234609116806,1,100010630201
19.47755794068095,0,100010720201
14.131688849865371,0,100010990201
15.968719078088661,0,100020160201
22.534412307862254,0,100020160202
22.916375894579474,1,100020410201
27.586227557225556,1,100020510201
25.546250685954618,1,100020510202
18.329096858139824,0,100020730101
27.688718946056945,1,100020730102
30.55383660725719,0,100020760101
15.10652941550081,1,100020800201
26.27448277010669,0,100030070201
24.796725412859008,1,100030230201
27.065055136954783,1,100030470201
16.732022693992924,0,100030560201
13.272868874187134,0,100030560203
21.89433588778237,0,100030760201
16.198929125659898,0,100040740201
33.67865945415306,0,100050170201
20.594848366727113,1,100050520201
18.013598573707696,0,100050770101
22.71542760888589,0,100060020101
19.259883158907446,0,100060020102
15.825434930753687,1,100060190201
18.77829223809247,1,100060460201
16.136898091369822,1,100060620201
15.127313860454823,1,100060680201
16.393854705695894,0,100060790101
18.062300151403065,0,100060790102
16.729411148760086,1,100060840201
25.80741905210218,0,100070490201
39.53815368116999,1,100070560101
10.107718700123304,0,100070560201
21.786888659387284,1,100080060202
15.459807229939067,1,100080210201
18.7917191120447,0,100080370201
19.199941874121684,0,100080520201
28.305671477891394,0,100080680201
20.531201006588898,1,100081150201
17.996046074009207,1,100081150202
34.1724046383819,0,100081200201
30.860379915883435,1,100081250201
5.21517644238169,1,100090060201
30.12584495918031,1,100090520201
15.956411726955514,0,100090840201
32.33136062904299,0,100091070202
31.07359185094704,0,100100100201
52.994569261428914,1,100100160201
42.751161794048436,1,100100160202
27.431080044442798,0,100100370201
23.656703810470436,1,100100640201
20.22083869300401,1,100101080101
11.76958413623103,0,100101080401
26.46764840476861,1,100101240501
17.36329287231937,0,100101290201
32.62928005949254,0,100110180201
36.14397024864711,1,100110180202
29.23933775783692,1,100110180203
15.334124403571577,0,100110220101
32.472313630090696,1,100110260201
33.46027555098023,1,100110260202
20.455941119876616,1,100110340201
27.298980228071756,0,100110530101
30.194126048821367,0,100110530102
30.477607695101383,0,100110570101
15.359691062248617,0,100110840201
42.59884335789249,0,100120030201
26.131096226916586,0,100120230201
22.27210211116597,0,100120380202
23.800716308379275,1,100120580201
7.522101914262241,0,100120610201
11.655849919884362,0,100120610202
24.242628301031154,0,100130230201
31.142424561763765,0,100130270201
25.34883892119066,0,100130270202
39.57898304083359,1,100130350201
31.141624284577738,0,100130350202
33.05260152193562,0,100130490201
19.040380332218387,0,100130510201
18.113655347759014,0,100140250201
25.910721339409697,1,100140360201
9.622937883995622,1,100140440201
12.321196441350224,1,100150530201
13.480807400067455,0,100150740201
25.73752824708618,0,100150780201
22.51849581873036,0,100160170201
14.256238145417793,1,100160300201
26.0737981027806,1,100160470201
20.25648436240094,1,100170260201
13.157921674927898,1,100170300201
21.12477589489959,1,100170420201
8.501661342598256,0,100170460201
45.60910772354107,1,100170750201
10.801000817572447,0,100170790201
15.551338112179911,1,100170920201
18.891800945255792,1,100180050201
25.524043368551837,1,100180080201
15.215225070056832,0,100180180201
16.71310238095759,1,100180210201
31.434160858934543,0,100180240201
39.73278549841789,0,100180340201
28.45602756963526,0,100180370201
25.490177294359132,0,100180370202
37.66776018782489,1,100180370203
28.194145981378156,1,100180430201
20.161694965359942,1,100180460201
34.42185351383029,0,100180520201
32.119353139554,1,100180520202
27.766997950633236,1,100180590201
15.038538272700535,1,100180780201
23.580393833875412,0,100180780202
21.814957041516987,1,100190590201
18.409933072048897,0,100190860201
26.46278215450411,1,100190900201
15.580493620108689,1,100200150501
11.35896436259954,1,100200370201
17.69641753041605,1,100200370202
13.327060254037642,0,100200480201
21.91691877723606,1,100200640201
27.725091996565407,1,100200860201
23.22919518585377,0,100200860202
18.910051984679853,1,100201020201
35.32431119665763,1,100210080201
24.192270492947735,1,100210120201
10.188432316916897,1,100210240101
25.129258182898155,0,100210360201
32.07584826208169,1,100210360202
49.01949612612067,1,100210440201
20.566518142784837,0,100210480201
22.535757892326412,1,100211000201
20.6901694613345,0,100220050301
30.903351612950594,0,100220110201
17.94988954882652,0,100220610201
11.772184115752971,1,100220730201
20.58785128829482,1,100220840101
27.563783234650323,0,100220900201
24.498465523895494,1,100220950201
15.700052222316042,0,100221180201
15.478563290964651,1,100221180202
20.47766494931198,1,100221290201
24.857198686913758,0,100221290202
13.25456180119072,1,100221400101
12.806863821086719,1,100230050201
20.42049559643622,1,100230230201
31.87684049896547,1,100230610201
30.372685226298664,0,100230610202
17.323488562441455,0,100230650201
26.858984301627178,1,100230650202
34.82024844776156,1,100230980201
9.928509255827594,0,100231030201
20.987604596081912,1,100231030202
8.212562270195374,0,100240050201
20.36963560854509,0,100240140201
20.595107182461845,1,100240320201
17.57685930724407,1,100240370201
13.396452779330502,1,100240410201
12.524179772149758,1,100240410202
23.81060349595651,1,100240460201
